Timestep;Price;G_WindOffshore;G_GasTurbine;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand;Total_PV
103.0;0.008200345284974705;0.0;0.0;2.96834673982471e-12;0.0;0.0;0.0;-0.17536715215493756;-0.1162353837477944;-0.3518297840100007;-12.788;0.0
104.0;0.00838718342494974;0.0;0.0;3.82637309162325e-12;0.0;0.0;0.0;-0.16956410582910664;-0.11569412751132219;-0.34021285753346575;-13.112;4.1557995296388236e-7
105.0;0.007654020976103333;0.0;0.0;1.7033334669253445e-12;0.0;0.0;0.0;-0.14715934682020315;-0.09836210177453342;-0.2951571808995781;-11.996;8.121968948332777e-5
106.0;0.006805833118057537;0.0;0.0;1.0435075533959456e-12;0.0;0.0;0.0;-0.12567086226160645;-0.08087810849452595;-0.251919221579631;-10.689;0.0003044761628644353
107.0;0.0063402532096435244;0.0;0.0;6.766738077133594e-13;0.0;0.0;0.0;-0.11400667672770957;-0.07147447376631705;-0.22842815592081692;-9.971;0.0005460258435002231
108.0;0.006333634734901833;0.0;0.0;6.726474651056081e-13;0.0;0.0;0.0;-0.11281154155553914;-0.07028377967936943;-0.22597612612322215;-9.965;0.00075044311856099
109.0;0.0065227097844312125;0.0;0.0;7.994652401733719e-13;0.0;0.0;0.0;-0.11722727085000352;-0.07372108934155008;-0.2348043595823447;-10.258;0.0008914198517318717
110.0;0.0067933899474648665;0.0;0.0;1.0311809910498785e-12;0.0;0.0;0.0;-0.1253486419966264;-0.0806663012189168;-0.2510728649427644;-10.67;0.0010217886936443857
111.0;0.007127999941598297;0.0;0.0;1.4142733094574981e-12;0.0;0.0;0.0;-0.13697809931703941;-0.0917013730879212;-0.2744447921182134;-11.172;0.0009394221288122121
112.0;0.007509027212799394;0.0;0.0;1.6070817858798172e-12;0.0;0.0;0.0;-0.15176263780492152;-0.10720532732432482;-0.3042086728916451;-11.736;0.0006764194983082399
113.0;0.00831571851031858;0.0;0.0;3.478178242449887e-12;0.0;0.0;0.0;-0.17755443705409643;-0.13275496960611244;-0.3560819923797234;-12.954;0.0005600096995351218
114.0;0.00865488469437106;0.0;0.0;5.3854953960321675e-12;0.0;0.0;0.0;-0.19538077554447492;-0.15254683012040463;-0.39192985460894236;-13.436;0.00045150514360671413
