scen_number;sensitivity;n_iter;walltime;PrimalResidual_EOM;DualResidual_EOM;rho_EOM
2; High gas prices;500;8.449639171666668;0.854820941437454;0.8542920215078351;0.01
2; High gas prices;500;22.16939414666667;0.009904065795254957;0.009165922813506991;0.01
2; High gas prices;600;21.632453055;0.009904065795254957;0.009165922813506991;0.01
1;ref;600;2.7922078949999998;0.009904093558065869;0.009165876534321394;0.01
2; High gas prices;600;2.7624868333333334;0.009903954722228313;0.009166107745271731;0.01
2; High gas prices;600;2.8701341583333337;0.009903565627396319;0.009166755318181936;0.01
3; High gas prices;600;2.7286189300000006;0.009845322536816838;0.006975722817440263;0.01
3; High gas prices;10;0.1763569;548.3181107380543;0.0002211132491494571;0.01
3; High gas prices;10;0.228920325;548.3181107380543;0.0002211132491494571;0.01
3; High gas prices;10;0.2573200483333334;548.3181107380543;0.0002211132491494571;0.01
3; High gas prices;10;0.18519246833333333;548.3181107380543;0.0002211132491494571;0.01
3; High gas prices;10;0.2526992816666667;548.3181107380543;0.0002211132491494571;0.01
3; High gas prices;10;0.1844519666666667;548.3181107380543;0.0002211132491494571;0.01
3; High gas prices;10;0.203324625;548.3181107380543;0.0002211132491494571;0.01
3; High gas prices;10;0.17961991833333332;548.3181107380543;0.0002211132491494571;0.01
3; High gas prices;10;0.20274559500000003;548.3181107380543;0.0002211132491494571;0.01
3; High gas prices;5;0.15219756333333334;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.09843836166666667;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.10336331333333335;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.10973258166666668;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.11256038500000001;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.10582696500000001;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.10668162166666667;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.10313246333333334;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.10572365833333335;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.10973155333333334;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.10951282333333334;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.09937693166666667;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.11975980166666668;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.11074186833333334;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.11286995833333334;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.10977803333333334;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.09927303666666668;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.10857476333333334;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.11684607666666667;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.09666280666666667;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.12088116333333333;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.11056122500000001;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.11246988166666667;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.10442479666666668;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.10823073000000001;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.11656203000000001;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.10704805166666667;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.10526918500000002;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.11247146333333334;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.5312155416666667;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.41714524333333336;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.4356714066666667;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.42476432333333336;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.4105792616666667;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.39494607333333337;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.3858968766666667;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.3573221866666667;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.6975607916666667;548.3846257968561;8.526891123233342e-5;0.01
3; High gas prices;5;0.5686551666666666;548.3846257953326;8.526895843434743e-5;0.01
3; High gas prices;5;0.6045047550000001;548.3846257953326;8.526895843434743e-5;0.01
3; High gas prices;5;0.9395128206666666;548.384625750347;8.526882693740303e-5;0.01
3; High gas prices;150;7.039883997616667;0.24666014035277456;0.2758113738157058;0.1
3; High gas prices;150;8.035639564566667;0.20518013967034865;0.2758377244645359;0.1
3; High gas prices;100;4.63424690835;0.17521773579280417;0.35877758999430387;0.1
3; High gas prices;200;8.918215132933334;0.21659018637671645;0.16513206181943432;0.1
3; High gas prices;150;6.1783544183500005;0.20518216670464276;0.2758377497700077;0.1
3; High gas prices;300;4.877301355;0.008247228846248823;0.015117570252957869;0.1
3; High gas prices;300;4.614630348333334;0.008247228846248823;0.015117570252957869;0.1
3; High gas prices;300;4.828469888333333;0.008261752630739142;0.015116726008031194;0.1
3; High gas prices;300;4.617995961666667;0.008261752630739142;0.015116726008031194;0.1
3; High gas prices;30;0.5106639216666667;7.006421703456197;0.7022846889902667;0.1
3; High gas prices;300;4.382364563333334;0.008261752630739142;0.015116726008031194;0.1
3; High gas prices;30;0.5158205283333334;6.979337986954298;1.4169642072858;0.1
3; High gas prices;30;0.4737053466666667;5.314112517946126;0.8302592644974613;0.1
3; High gas prices;60;1.0245440833333335;1.381244203523042;0.7514175390591502;0.1
3; High gas prices;60;1.01209466;1.4773537419196643;0.7891456449423316;0.01
3; High gas prices;60;1.0212878233333333;1.4773537419196643;0.7891456449423316;0.01
3; High gas prices;100;1.74454639;0.2150297739992621;0.27157248989320193;0.01
3; High gas prices;100;1.651859086666667;0.2146430099693082;0.2724194319059773;0.01
3; High gas prices;100;1.7246658733333333;0.2146430099693082;0.2724194319059773;0.01
3; High gas prices;300;5.585330793333333;0.7674340916096106;0.3054683259737154;0.01
3; High gas prices;300;5.255601583333333;0.7674340916096106;0.3054683259737154;0.01
3; High gas prices;300;5.268328146666667;0.7674340916096106;0.3054683259737154;0.01
3; High gas prices;300;2.920894835;0.009937735146272325;0.006961629243239289;0.01
3; High gas prices;200;2.7461151183333334;0.009812932763373217;0.00896658240584222;0.01
3; High gas prices;200;3.5591158666666667;0.23347772818474297;0.23077035783026464;0.01
3; High gas prices;200;3.0425258083333335;0.009739925730746075;0.006089030606933605;0.01
3; High gas prices;200;2.823879175;0.009691074871392745;0.008106585445141942;0.01
3; High gas prices;200;3.7242552300000002;0.5992167946311645;0.5297530659859456;0.01
3; High gas prices;500;10.131010253333333;0.329171644398737;0.487441633036736;0.01
3; High gas prices;500;8.873447148333334;0.329171644398737;0.487441633036736;0.01
3; High gas prices;500;8.764243216666667;0.329171644398737;0.487441633036736;0.01
3; High gas prices;500;2.65494036;0.009812932763373217;0.00896658240584222;0.01
3; High gas prices;500;20.323944638333334;0.329171644398737;0.487441633036736;0.01
3; High gas prices;500;10.735808406666669;0.329171644398737;0.487441633036736;0.01
3; High gas prices;500;10.094906281666669;0.6207243542900682;0.37738040943285134;0.01
3; High gas prices;500;10.146753200000001;0.22691333883002957;0.15044351347486767;0.01
3; High gas prices;500;9.345536541666666;0.2244723652549246;0.1528318721444419;0.01
3; High gas prices;500;10.137333186666668;0.2244723652549246;0.1528318721444419;0.01
3; High gas prices;500;10.161484056666668;0.2244723652549246;0.1528318721444419;0.01
